uuid,name,description,class,shortname,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21
,"COPD, Followup, Physical Examination",,Misc,Physical Examination,,,,"COPD, Followup, BP Systolic Data, Systolic","COPD, Followup, BP Systolic Data, Systolic Abnormal","COPD, Followup, BP Diastolic Data, Diastolic","COPD, Followup, BP Diastolic Data, Diastolic Abnormal","COPD, Followup, Heart rate data, Pulse","COPD, Followup, Heart rate data, Pulse Abnormal","COPD, Followup, RR data, RR","COPD, Followup, RR data, RR Abnormal","COPD, Followup, SAT data, SAT","COPD, Followup, SAT data, SAT Abnormal","COPD, Followup, Temperature data, Temperature","COPD, Followup, Temperature data, Temperature Abnormal","COPD, Followup, Physical Examination Details",,,,,,,,
,"COPD, Followup, Assessment Management",,Misc,Assessment and Management,,,,"COPD, Followup, Followup","COPD, Followup, Medications","COPD, Followup, Referral / IPD admission",,,,,,,,,,,,,,,,,,
,"COPD, Followup",,Misc,COPD – Follow Up / Examination,,,,"COPD, Followup, Diagnosis date","COPD, Followup, Exacerbation within 12 months","COPD, Followup, last exacerbation date","COPD, Followup, Exacerbation per year","COPD, Followup, Top differential diagnosis","COPD, Followup, Assess severity","COPD, Followup, Smoking History","COPD, Followup, Packs per day","COPD, Followup, Number of years","COPD, Followup, Current Medications","COPD, Followup, Non-compliance","COPD, Followup, Treatment","COPD, Followup, First onset Age","COPD, Followup, Chief complaint","COPD, Followup, New symptom / History of present illness","COPD, Followup, Steroid treatment","COPD, Followup, Treatment non-compliance","COPD, Followup, Non-compliance reason","COPD, Followup, Symptoms of exacerbation today","COPD, Followup, Physical Examination","COPD, Followup, Assessment Management"
