uuid,name,shortname,description,class,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8
,"Congestive Heart Failure, Intake, Current home medications",Current home medications,,Misc,"Congestive Heart Failure, Intake, On Furosemide","Congestive Heart Failure, Intake, On Beta Blocker","Congestive Heart Failure, Intake, On Calcium ch blocker","Congestive Heart Failure, Intake, On Nitroglycerin","Congestive Heart Failure, Intake, On Digoxin","Congestive Heart Failure, Intake, On Aspirin","Congestive Heart Failure, Intake, On Ace Inhibitor","Congestive Heart Failure, Intake, All Other"
,"Congestive Heart Failure, Intake, Exposures",Exposures,,Misc,"Congestive Heart Failure, Intake, Smoking History","Congestive Heart Failure, Intake, Packs per day","Congestive Heart Failure, Intake, Number of years","Congestive Heart Failure, Intake, Current Smoker","Congestive Heart Failure, Intake, Quit Smoking Since","Congestive Heart Failure, Intake, Alcohol Abuse","Congestive Heart Failure, Intake, Currently Exposed to Alcohol","Congestive Heart Failure, Intake, Alcohol Abuse Details"
,"Congestive Heart Failure, Intake, Past diagnostics",Past diagnostics,,Misc,"Congestive Heart Failure, Intake, Chest X-ray","Congestive Heart Failure, Intake, EKG","Congestive Heart Failure, Intake, Echocardiogram","Congestive Heart Failure, Intake, Stress Test / Cath",,,,
,"Congestive Heart Failure, Intake, Diagnosis Details",Diagnosis Details,,Misc,"Congestive Heart Failure, Intake, Diagnosis Status","Congestive Heart Failure, Intake, Date Confirmed","Congestive Heart Failure, Intake, Diagnosis Location",,,,,
,"Congestive Heart Failure, Intake, Last Exacerbation",Last Exacerbation details,,Misc,"Congestive Heart Failure, Intake, Last Exacerbation, Within 12months","Congestive Heart Failure, Intake, Last Exacerbation date","Congestive Heart Failure, Intake, Last Exacerbation, Treated at","Congestive Heart Failure, Intake, Last Exacerbation, Inpatient Details","Congestive Heart Failure, Intake, Last Exacerbation, Hospitalizations","Congestive Heart Failure, Intake, Last Exacerbation, Treated as Outpatient",,
,"Congestive Heart Failure, Intake",Congestive heart failure – Intake,,Misc,"Congestive Heart Failure, Intake, Last Visit Date","Congestive Heart Failure, Intake, Previous Followup Location","Congestive Heart Failure, Intake, Diagnosis Details, Diagnosis Status","Congestive Heart Failure, Intake, Last Exacerbation","Congestive Heart Failure, Intake, Past diagnostics","Congestive Heart Failure, Intake, Major comorbidities","Congestive Heart Failure, Intake, Exposures","Congestive Heart Failure, Intake, Current home medications"
